id,text,normalized_text,orig_label,label,label_id
uit_003085,"tội mày quá , lần sau mày bình tĩnh hơn nhé","tội mày quá , lần sau mày bình tĩnh hơn nhé",sadness,sadness,3
uit_004366,cưng ghê,cưng ghê,enjoyment,happiness,2
uit_003044,t không phải con sến súa . ko cần quá cầu kì lãng mạn . cầu hôn tao thế này là tao đổ rồi per,t không phải con sến súa . ko cần quá cầu kì lãng mạn . cầu hôn tao thế này là tao đổ rồi per,enjoyment,happiness,2
uit_000986,"aaaaa con nhện 😨 "" aaaaaaa con ế !"" - nhện said 😂😂😂","aaaaa con nhện 😨 "" aaaaaaa con ế !"" - nhện said 😂😂😂",enjoyment,happiness,2
uit_001934,"k có con gì ác bằng con người , các con bé như thế mà nó không tha","k có con gì ác bằng con người , các con bé như thế mà nó không tha",fear,fear,1
uit_000637,tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =)),tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =)),enjoyment,happiness,2
uit_003812,tao cũng hay sử dụng chiêu này và bọn đàn ông vẫn cứ bị lừa ????,tao cũng hay sử dụng chiêu này và bọn đàn ông vẫn cứ bị lừa ????,enjoyment,happiness,2
uit_002812,tội cho chàng trai ấy,tội cho chàng trai ấy,sadness,sadness,3
uit_005273,tự nhiên mình xem và mỉm cười theo .,tự nhiên mình xem và mỉm cười theo .,enjoyment,happiness,2
uit_000513,thần tài cho chủ cửa hàng bán vàng chứ thần tài gì mình đâu,thần tài cho chủ cửa hàng bán vàng chứ thần tài gì mình đâu,other,neutral,4
uit_004656,còn gì đau xót hơn 🙂🙂,còn gì đau xót hơn 🙂🙂,sadness,sadness,3
uit_003120,sau mỗi cuộc chia ly người ở lại vẫn là người đau lòng nhất :((,sau mỗi cuộc chia ly người ở lại vẫn là người đau lòng nhất :((,sadness,sadness,3
uit_003842,bức ảnh xuất sắc ❤️,bức ảnh xuất sắc ❤️,enjoyment,happiness,2
uit_003503,"thời thanh xuân tôi từng yêu quý nét hiền thục của chị hiền mai . và đúng như cái tên hiền mai của chị , tên và tâm tính đều đẹp , hiếu thảo khó ai bằng . em xin chúc bác có thêm nhiều sức khoẻ để chị có được nhg tháng ngày hạnh phúc , ấm áp bên mẹ ạ .","thời thanh xuân tôi từng yêu quý nét hiền thục của chị hiền mai . và đúng như cái tên hiền mai của chị , tên và tâm tính đều đẹp , hiếu thảo khó ai bằng . em xin chúc bác có thêm nhiều sức khoẻ để chị có được nhg tháng ngày hạnh phúc , ấm áp bên mẹ ạ .",enjoyment,happiness,2
uit_000502,hmmmmmmm não tao xoắn mẹ rồi,hmmmmmmm não tao xoắn mẹ rồi,other,neutral,4
uit_004240,gap kiểu này chắc đái ra quần quá,gap kiểu này chắc đái ra quần quá,fear,fear,1
uit_000746,chuẩn,chuẩn,enjoyment,happiness,2
uit_001433,chuẩn lun,chuẩn lun,enjoyment,happiness,2
uit_004234,"lại là lào cai , tự hào quê mình quá :))","lại là lào cai , tự hào quê mình quá :))",enjoyment,happiness,2
uit_000152,ông thần nhây vãi đái 😂😂,ông thần nhây vãi đái 😂😂,enjoyment,happiness,2
uit_001014,em per gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải cứu :)),em per gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải cứu :)),other,neutral,4
uit_001384,dài quá vướn víu,dài quá vướn víu,other,neutral,4
uit_001837,"kết nhất cái điệu "" xời quá là điều bình thường luôn ""","kết nhất cái điệu "" xời quá là điều bình thường luôn """,enjoyment,happiness,2
uit_004795,tao cũng thế mà ba tao vứt hết mẹ rồi,tao cũng thế mà ba tao vứt hết mẹ rồi,other,neutral,4
uit_000615,ngày xưa mừn cũng hay thế lắm .,ngày xưa mừn cũng hay thế lắm .,enjoyment,happiness,2
uit_002907,mai đấu giá thử cai lap cua mình chứa toàn tài liệu tiếng nhật 😂😂,mai đấu giá thử cai lap cua mình chứa toàn tài liệu tiếng nhật 😂😂,enjoyment,happiness,2
uit_002840,em tao thì cứ xác định bố thịt từng đứa 🙂🙂🙂🙂🙂 bố mẹ bênh thì thịt cả bố mẹ luôn sợ máu lồn 🙂🙂🙂🙂🙂🙂,em tao thì cứ xác định bố thịt từng đứa 🙂🙂🙂🙂🙂 bố mẹ bênh thì thịt cả bố mẹ luôn sợ máu lồn 🙂🙂🙂🙂🙂🙂,anger,anger,0
uit_000084,thế làm sao dỗ bạn gái đang giận :(,thế làm sao dỗ bạn gái đang giận :(,sadness,sadness,3
uit_001512,per sự tích con chim họa tao với mấy thắc mắc hồi trước nè,per sự tích con chim họa tao với mấy thắc mắc hồi trước nè,other,neutral,4
uit_003518,"gặp chị này ngoài đời rồi , giọng nhẹ mà hiền lắm nuôn ❤","gặp chị này ngoài đời rồi , giọng nhẹ mà hiền lắm nuôn ❤",enjoyment,happiness,2
uit_002437,bo ̣ n na ̀ y cho đi tu ̀ hê ́ tao,bo ̣ n na ̀ y cho đi tu ̀ hê ́ tao,anger,anger,0
uit_003651,ngồi nhiều quá nhìn họ đau mắt,ngồi nhiều quá nhìn họ đau mắt,sadness,sadness,3
uit_001942,đúng . biết là sự thật tàn nhẫn nhưng vẫn muốn biết rõ cho nhẹ lòng hơn :(,đúng . biết là sự thật tàn nhẫn nhưng vẫn muốn biết rõ cho nhẹ lòng hơn :(,sadness,sadness,3
uit_001098,mát lồng lộng mày ạ,mát lồng lộng mày ạ,enjoyment,happiness,2
uit_000834,per dume đái trong quần,per dume đái trong quần,fear,fear,1
